DTXSID,very_toxic,nontoxic,LD50_mgkg,EPA_category,GHS_category,casrn,mol_weight,LD50_LM
DTXSID10161171,FALSE,FALSE,160,2,3,13980-04-6,174.1199951,0.036728664
DTXSID10163534,TRUE,FALSE,30,1,2,14689-57-7,437.9299927,1.164283435
DTXSID10165275,FALSE,FALSE,1520,3,4,1532-04-3,267.4129944,-0.754661081
DTXSID10165679,TRUE,FALSE,15.3,1,2,154619-91-7,484.7290039,1.500807576
DTXSID10166247,FALSE,TRUE,2880,3,5,157309-18-7,469.4949951,-0.787761521
DTXSID10166585,FALSE,FALSE,1000,3,4,15911-11-2,197.1900024,-0.705115108
DTXSID10167193,FALSE,FALSE,1639,3,4,161559-34-8,327.3880005,-0.699516196
DTXSID10167350,FALSE,FALSE,134,2,3,16227-12-6,145.1649933,0.0347571
DTXSID10167512,FALSE,FALSE,710,3,4,1631-28-3,187.197998,-0.578957149
DTXSID10167537,FALSE,FALSE,195,2,3,16322-14-8,203.2409973,0.017976706
DTXSID10167572,FALSE,FALSE,1100,3,4,16339-04-1,116.1640015,-0.976321122
DTXSID10167577,FALSE,FALSE,163,2,3,16339-18-7,124.1029968,-0.118405335
DTXSID10168165,FALSE,FALSE,83,2,3,16671-88-8,179.1900024,0.334235683
DTXSID10168226,FALSE,FALSE,295,2,3,16709-30-1,235.2389984,-0.098312694
DTXSID10168802,FALSE,TRUE,8000,4,5,17013-01-3,160.036,-1.698872299
DTXSID10170243,TRUE,FALSE,12,1,2,17702-63-5,258.2900085,1.332926361
DTXSID10170344,FALSE,FALSE,410,2,4,17756-81-9,146.5700073,-0.446738747
DTXSID10170521,FALSE,TRUE,3447,3,5,17867-69-5,266.2929993,-1.112081534
DTXSID10171917,FALSE,FALSE,67,2,3,18659-45-5,250.3419952,0.572458907
DTXSID10173133,FALSE,FALSE,1200,3,4,19480-39-8,217.6499939,-0.741422587
DTXSID10173178,FALSE,FALSE,130,2,3,195252-29-0,215.2599945,0.219019973
DTXSID10173254,FALSE,FALSE,826,3,4,19594-18-4,227.2799988,-0.560418829
DTXSID10174004,FALSE,FALSE,82,2,3,20172-02-5,211.6499939,0.411804408
DTXSID10175258,FALSE,FALSE,215,2,3,21045-68-1,158.1529999,-0.133361026
DTXSID10176169,FALSE,FALSE,570,3,4,2177-22-2,134.6000061,-0.626829776
DTXSID10177333,TRUE,FALSE,9,1,2,22791-20-4,237.2550049,1.420972873
DTXSID10177393,FALSE,TRUE,7000,4,5,12/3/85,187.1210022,-1.572975505
DTXSID10177419,FALSE,FALSE,1000,3,4,22876-19-3,185.6300049,-0.731351824
DTXSID10177717,FALSE,FALSE,810,3,4,23142-01-0,525.5949707,-0.187833818
DTXSID10177934,TRUE,FALSE,7.881,1,2,2338-25-2,255.0200043,1.509992921
DTXSID10179539,FALSE,TRUE,3770,3,5,2483-57-0,119.0759964,-1.500517126
DTXSID10179554,FALSE,FALSE,1000,3,4,24853-80-3,370.2799988,-0.431469746
DTXSID10179852,FALSE,FALSE,77,2,3,25182-84-7,105.0930023,0.135083074
DTXSID10179892,FALSE,FALSE,215,2,3,2523-94-6,164.9700012,-0.115033482
DTXSID10180963,FALSE,FALSE,175,2,3,2636-25-1,246.3200073,0.14846164
DTXSID10181177,FALSE,FALSE,210,2,3,26637-71-8,253.9649963,0.082554568
DTXSID10181192,TRUE,FALSE,15,1,2,2667-40-5,300.3699951,1.301565288
DTXSID10181258,FALSE,FALSE,1415,3,4,2675-94-7,127.1869965,-1.046313728
DTXSID10181758,TRUE,FALSE,25,1,2,27311-52-0,303.1799927,1.083760529
DTXSID10183474,FALSE,FALSE,800,3,4,29214-81-1,188.3300018,-0.628170476
DTXSID10185039,FALSE,TRUE,2320,3,5,31093-47-7,298.4400024,-0.89063095
DTXSID10185130,FALSE,TRUE,8200,4,5,312-94-7,208.5599976,-1.594582839
DTXSID10185519,FALSE,FALSE,630,3,4,31635-40-2,316.8699951,-0.298459432
DTXSID10185731,TRUE,FALSE,41,1,2,31876-38-7,98.05699921,0.378694742
DTXSID10186248,FALSE,FALSE,515,3,4,3254-89-5,345.9100037,-0.172844107
DTXSID10186304,TRUE,FALSE,29.96,1,2,3261-53-8,808.9589844,1.431384694
DTXSID10186748,TRUE,FALSE,2.8,1,1,3309-68-0,274.3900146,1.991210272
DTXSID10187114,FALSE,TRUE,3500,3,5,3347-30-6,230.3399963,-1.181698689
DTXSID10187492,FALSE,TRUE,37000,4,5,3386-18-3,414.4920044,-1.950685567
DTXSID10187553,TRUE,FALSE,12.769,1,2,3393-60-0,422.8250122,1.520003783
DTXSID10188045,TRUE,FALSE,35,1,2,34491-12-8,218.6900024,0.795760885
DTXSID10188828,FALSE,TRUE,3110,3,5,35322-07-7,360.7799988,-0.935517936
DTXSID10189173,FALSE,FALSE,1150,3,4,3567-26-8,327.4200134,-0.545592618
DTXSID10190168,TRUE,FALSE,2.78,1,1,3671-18-9,265.5799866,1.980150549
DTXSID10190360,FALSE,FALSE,840,3,4,3688-66-2,404.4660034,-0.317397262
DTXSID10190527,FALSE,TRUE,5001,4,5,37027-56-8,206.7100067,-1.383695353
DTXSID10191155,TRUE,FALSE,18,1,2,3772-48-3,317.4200134,1.246361801
DTXSID10191695,FALSE,TRUE,8000,4,5,3833-54-3,295.3099976,-1.432811837
DTXSID10192728,TRUE,FALSE,12,1,2,39624-86-7,265.2399902,1.344457757
DTXSID10192788,FALSE,FALSE,318,2,4,3971-89-9,193.2460022,-0.216316602
DTXSID10193795,FALSE,FALSE,253,2,3,40805-93-4,309.8779907,0.08807021
DTXSID10194828,FALSE,FALSE,1820,3,4,42018-31-5,208.2169952,-0.941555213
DTXSID10194868,TRUE,FALSE,14.656,1,2,4205-99-6,334.4599915,1.358328718
DTXSID10196084,FALSE,TRUE,2180,3,5,4425-97-2,272.3510132,-0.903327498
DTXSID10197334,FALSE,FALSE,248,2,3,4790-92-5,255.6999969,0.013279042
DTXSID10197773,FALSE,FALSE,700,3,4,4934-55-8,211.2640076,-0.520272526
DTXSID10197798,TRUE,FALSE,25,1,2,4947-89-1,186.6600037,0.873111261
DTXSID10198083,FALSE,FALSE,1450,3,4,49803-32-9,265.3120117,-0.73761109
DTXSID10198487,FALSE,TRUE,4000,3,5,50454-68-7,300.7399902,-1.12386881
DTXSID10199353,TRUE,FALSE,2.5,1,1,51356-06-0,294.3200073,2.070879777
DTXSID10199358,TRUE,FALSE,6.5,1,2,51356-11-7,292.2900085,1.652900613
DTXSID10199459,FALSE,FALSE,1857,3,4,51484-40-3,288.3500061,-0.808891939
DTXSID10199611,FALSE,TRUE,8500,4,5,51671-08-0,332.1799927,-1.408045455
DTXSID10200276,FALSE,TRUE,4290,3,5,6/3/23,151.2089996,-1.452879652
DTXSID10200615,FALSE,FALSE,770,3,4,52637-01-1,182.6000061,-0.624989937
DTXSID10200756,FALSE,FALSE,79,2,3,52777-92-1,209.2599945,0.423059118
DTXSID1020140,FALSE,TRUE,4070,3,5,532-32-1,144.1049957,-1.450915372
DTXSID1020144,FALSE,TRUE,10000,4,5,119-53-9,212.2480011,-1.673156391
DTXSID1020148,FALSE,FALSE,1590,3,4,98-07-7,195.4700012,-0.910317009
DTXSID1020190,FALSE,TRUE,2001,3,5,860-22-0,466.3500061,-0.632535102
DTXSID1020198,FALSE,FALSE,916,3,4,75-27-4,163.8200073,-0.747528533
DTXSID10202078,FALSE,TRUE,2700,3,5,538-32-9,150.1809998,-1.254748773
DTXSID1020221,FALSE,TRUE,3620,3,5,98-54-4,150.221,-1.381977922
DTXSID10202412,FALSE,FALSE,1230,3,4,5408-74-2,133.1940002,-0.965420449
DTXSID10202518,FALSE,FALSE,1000.31,3,4,5417-35-6,142.197998,-0.847241128
DTXSID10202619,FALSE,FALSE,383,2,4,5426-89-1,299.3340149,-0.107042703
DTXSID1020279,FALSE,FALSE,848,3,4,563-47-3,90.55000305,-0.971507383
DTXSID1020300,FALSE,FALSE,370,2,4,124-48-1,208.2799988,-0.249554158
DTXSID1020306,FALSE,FALSE,801.5,3,4,67-66-3,119.3700027,-0.827008323
DTXSID1020308,FALSE,FALSE,316,2,4,6959-47-3,164.0299988,-0.284763801
DTXSID1020350,FALSE,FALSE,1450,3,4,120-71-8,137.182,-1.024070872
DTXSID1020352,FALSE,FALSE,199,2,3,135-20-6,155.1569977,-0.108081709
DTXSID1020356,TRUE,FALSE,5,1,2,12663-46-6,572.4400024,2.058759971
DTXSID1020358,FALSE,TRUE,18800,4,5,7585-39-9,1134.987061,-1.219166939
DTXSID10203747,FALSE,FALSE,625,3,4,55232-80-9,379.3299866,-0.216862842
DTXSID10204219,FALSE,FALSE,110,2,3,55689-65-1,268.2680054,0.387176195
DTXSID1020431,FALSE,FALSE,500,2,4,106-46-7,147,-0.53165267
DTXSID1020433,FALSE,TRUE,3820,3,5,612-83-9,326.0400085,-1.068792467
DTXSID1020437,FALSE,FALSE,725,3,4,75-34-3,98.94999695,-0.864922221
DTXSID1020439,TRUE,FALSE,47,1,2,120-83-2,163,0.540089746
DTXSID1020510,FALSE,FALSE,327,2,4,57-97-6,256.3479919,-0.105717833
DTXSID10205100,TRUE,FALSE,25,1,2,56538-02-4,258.7000122,1.014856441
DTXSID1020512,FALSE,FALSE,1000,3,4,79-44-7,107.5400009,-0.968429964
DTXSID1020514,FALSE,FALSE,1064,3,4,1643-20-5,229.4080048,-0.66633306
DTXSID1020516,FALSE,FALSE,122,2,3,57-14-7,60.09999847,-0.30748537
DTXSID10205443,FALSE,FALSE,1800,3,4,56903-65-2,465.9299927,-0.586951838
DTXSID1020560,TRUE,FALSE,18,1,2,115-29-7,406.8999939,1.354215178
DTXSID1020562,FALSE,TRUE,5450,4,5,13838-16-9,184.4900055,-1.470423658
DTXSID1020566,FALSE,FALSE,65,2,3,106-89-8,92.52,0.153322267
DTXSID1020568,TRUE,FALSE,24,1,2,55-31-2,219.6699982,0.961559505
DTXSID1020647,FALSE,FALSE,100,2,3,98-01-1,96.08499908,-0.01734441
DTXSID1020649,TRUE,FALSE,4,1,1,23255-69-8,354.355011,1.947378587
DTXSID1020699,FALSE,FALSE,550,3,4,136-77-6,194.2740021,-0.451948003
DTXSID1020770,FALSE,FALSE,91.3,2,3,143-50-0,490.6099854,0.730265606
DTXSID1020772,FALSE,FALSE,110,2,3,303-34-4,411.4949951,0.572971872
DTXSID1020776,FALSE,FALSE,720,3,4,24365-47-7,426.5620117,-0.227350321
DTXSID1020778,FALSE,TRUE,4400,3,5,5989-27-5,136.238,-1.509154417
DTXSID10207881,FALSE,TRUE,2500,3,5,5914-66-9,501.4500122,-0.697712362
DTXSID10207987,FALSE,FALSE,500,2,4,5926-26-1,170.6600037,-0.466838254
DTXSID1020807,FALSE,FALSE,100,2,3,149-30-4,167.2400055,0.223340173
DTXSID1020809,FALSE,TRUE,4440,3,5,19767-45-4,164.1699982,-1.432089177
DTXSID10208494,FALSE,TRUE,4748,3,5,5976-95-4,148.0709991,-1.506040703
DTXSID1020853,FALSE,FALSE,600,3,4,36702-44-0,128.1750031,-0.670347914
DTXSID1020855,TRUE,FALSE,6.01,1,2,298-00-0,263.2000122,1.641411433
DTXSID1020859,FALSE,FALSE,400,2,4,98-85-1,122.1669998,-0.515106083
DTXSID10208797,FALSE,FALSE,1320,3,4,60070-44-2,299.8399963,-0.643684367
DTXSID10209042,FALSE,TRUE,10000,4,5,6029-54-5,522.8179932,-1.281649474
DTXSID10209183,FALSE,FALSE,262,2,3,60439-52-3,259.1300049,-0.004783588
DTXSID1020930,FALSE,FALSE,51.25,2,3,54-11-5,162.2359924,0.50045334
DTXSID1020932,FALSE,TRUE,4500,3,5,59-67-6,123.1110001,-1.562915655
DTXSID1020936,FALSE,TRUE,2150,3,5,139-94-6,216.2200012,-0.997542594
DTXSID10209587,FALSE,TRUE,2550,3,5,60764-83-2,210.3600006,-1.083577017
DTXSID1020980,FALSE,FALSE,455,2,4,108-03-2,89.09400177,-0.70816293
DTXSID10210279,TRUE,FALSE,25,1,2,61361-62-4,240.2590027,0.982739661
DTXSID1021039,FALSE,FALSE,283,2,3,20917-49-1,142.2019959,-0.298880744
DTXSID10210739,FALSE,FALSE,540,3,4,61738-04-3,118.1360016,-0.660011492
DTXSID1021087,FALSE,TRUE,5001,4,5,604-75-1,286.7200012,-1.241598865
DTXSID1021089,FALSE,FALSE,525,3,4,14698-29-4,261.2330017,-0.303131263
DTXSID10210956,FALSE,TRUE,2550,3,5,61925-70-0,386.019989,-0.819930386
DTXSID1021114,FALSE,TRUE,2150,3,5,6724-53-4,393.5679932,-0.737418688
DTXSID1021116,FALSE,FALSE,1650,3,4,62-44-2,179.2189941,-0.964099909
DTXSID1021118,FALSE,FALSE,472,2,4,136-40-3,249.6999969,-0.276523462
DTXSID1021160,FALSE,FALSE,686,3,4,2/1/18,241.4499969,-0.453496911
DTXSID1021162,FALSE,FALSE,402,2,4,92-13-7,208.2610016,-0.2856181
DTXSID1021164,FALSE,FALSE,1975,3,4,110-85-0,86.13800049,-1.360372314
DTXSID1021166,FALSE,TRUE,4570,3,5,51-03-6,338.4440002,-1.130429381
DTXSID1021168,FALSE,TRUE,2001,3,5,120-62-7,324.480011,-0.790059141
DTXSID10211766,FALSE,FALSE,170,2,3,627-51-0,86.15000153,-0.295193632
DTXSID10212016,FALSE,TRUE,8900,4,5,6284-81-7,318.4979858,-1.446283316
DTXSID1021241,FALSE,TRUE,7910,4,5,79-81-2,524.8740234,-1.178121404
DTXSID10212435,FALSE,TRUE,2500,3,5,631-93-6,316.2000122,-0.897978126
DTXSID10212692,FALSE,FALSE,387,2,4,6330-25-2,98.10500336,-0.596019808
DTXSID1021320,FALSE,TRUE,4000,3,5,961-11-5,365.9500122,-1.038638225
DTXSID1021322,FALSE,FALSE,500,2,4,97-77-8,296.519989,-0.226916029
DTXSID1021326,FALSE,FALSE,830,3,4,40548-68-3,116.1200027,-0.854171055
DTXSID1021328,FALSE,FALSE,1650,3,4,109-99-9,72.10700226,-1.359506503
DTXSID10213301,FALSE,TRUE,4000,3,5,63867-17-4,380.9020081,-1.021246729
DTXSID10213583,FALSE,FALSE,1000,3,4,63906-70-7,192.3000031,-0.716020709
DTXSID1021374,FALSE,FALSE,933,3,4,75-25-2,252.7310028,-0.567223123
DTXSID1021378,FALSE,FALSE,400,2,4,76-03-9,163.3800049,-0.388861087
DTXSID10213826,FALSE,FALSE,494,2,4,63979-26-0,309.7999878,-0.202645553
DTXSID10213866,FALSE,TRUE,8680,4,5,63980-62-1,232.3639984,-1.572350884
DTXSID10213962,FALSE,TRUE,3500,3,5,63992-41-6,226.6300049,-1.188750636
DTXSID10213967,FALSE,TRUE,4000,3,5,63992-50-7,220.3560028,-1.258935106
DTXSID1021403,FALSE,FALSE,840,3,4,512-56-1,140.0749969,-0.777918664
DTXSID10214030,FALSE,FALSE,140,2,3,64037-08-7,247.4799957,0.247412064
DTXSID10214035,FALSE,FALSE,1000,3,4,64037-13-4,260.0339966,-0.584969869
DTXSID10214050,FALSE,FALSE,500,2,4,64037-31-6,238.4499969,-0.321572683
DTXSID1021407,FALSE,FALSE,105,2,3,55-63-0,227.0850067,0.334999162
DTXSID10214419,FALSE,FALSE,245,2,3,64204-49-5,270.5400085,0.043065415
DTXSID1021451,FALSE,TRUE,2228,3,5,6358-85-6,629.5,-0.548919452
DTXSID10215224,FALSE,TRUE,2816,3,5,64910-63-0,219.3399963,-1.108514819
DTXSID10215486,FALSE,FALSE,1800,3,4,65183-11-1,316.3640137,-0.755085428
DTXSID10215981,FALSE,FALSE,540,3,4,65793-50-2,211.223999,-0.407650499
DTXSID1021615,TRUE,FALSE,50,1,2,124-63-0,114.5400009,0.359987178
DTXSID1021619,FALSE,TRUE,5600,4,5,590-86-3,86.13400269,-1.813013397
DTXSID10216433,FALSE,FALSE,200,2,3,66232-30-2,528.6400146,0.422130038
DTXSID1021667,FALSE,FALSE,100,2,3,115-17-3,280.7409973,0.448305838
DTXSID10217122,FALSE,FALSE,1453,3,4,66941-57-9,322.4200134,-0.653843623
DTXSID1021740,FALSE,FALSE,790,3,4,71-36-3,74.1230011,-1.027674097
DTXSID1021744,FALSE,FALSE,117,2,3,71-73-8,264.3200073,0.353944176
DTXSID10217723,FALSE,FALSE,98,2,3,67369-99-7,447.9200134,0.659974392
DTXSID10217889,FALSE,FALSE,120,2,3,67557-57-7,135.1369934,0.051593006
DTXSID1021790,FALSE,FALSE,334,2,4,88-75-5,139.1100006,-0.380388114
DTXSID1021792,FALSE,FALSE,500,2,4,90-02-8,122.1230011,-0.612172536
DTXSID1021798,FALSE,FALSE,331,2,4,91-22-5,129.162,-0.408693233
DTXSID1021821,FALSE,FALSE,930,3,4,96-29-7,87.12200165,-1.028355104
DTXSID1021823,FALSE,FALSE,285,2,3,97-02-9,183.1230011,-0.192101963
DTXSID1021827,FALSE,FALSE,1400,3,4,98-82-8,120.1949997,-1.066241635
DTXSID10218437,FALSE,FALSE,650,3,4,68289-21-4,405.54599,-0.204873245
DTXSID1021871,FALSE,FALSE,500,2,4,106-48-9,128.5599976,-0.589864149
DTXSID1021873,FALSE,TRUE,4895,3,5,106-63-8,128.1710052,-1.581962906
DTXSID1021877,FALSE,FALSE,58,2,3,107-07-3,80.51000214,0.142421845
DTXSID1021879,TRUE,FALSE,39,1,2,107-12-0,55.08000183,0.149929339
DTXSID1021900,FALSE,TRUE,2030,3,5,109-07-9,100.1650009,-1.306780039
DTXSID1021904,FALSE,FALSE,366,2,4,109-73-9,73.13899994,-0.699332068
DTXSID10219060,FALSE,FALSE,774,3,4,69002-85-3,312.1499939,-0.39437763
DTXSID10219242,FALSE,FALSE,539,3,4,6921-27-3,94.11299896,-0.757939153
DTXSID10219267,FALSE,TRUE,8900,4,5,69226-39-7,230.2799988,-1.587133788
DTXSID1021952,FALSE,TRUE,3500,3,5,115-86-6,326.2879944,-1.03046695
DTXSID1021956,FALSE,TRUE,47000,4,5,117-84-0,390.564,-2.080405648
DTXSID1021958,FALSE,FALSE,1320,3,4,118-61-6,166.1759949,-0.900005644
DTXSID1022001,FALSE,TRUE,5620,4,5,141-78-6,88.10600281,-1.804730817
DTXSID1022007,FALSE,TRUE,7400,4,5,142-96-1,130.2310028,-1.754517335
DTXSID1022009,FALSE,FALSE,380,2,4,143-16-8,185.3549957,-0.311779301
DTXSID1022053,TRUE,FALSE,7,1,2,534-52-1,198.1340027,1.451860973
DTXSID1022055,FALSE,TRUE,4100,3,5,540-88-5,116.1600037,-1.54772724
DTXSID1022057,FALSE,FALSE,110.5,2,3,542-75-6,110.9700012,0.001843313
DTXSID10221067,FALSE,FALSE,1321,3,4,70803-10-0,293.3259888,-0.653552274
DTXSID10221325,FALSE,FALSE,550,3,4,71119-10-3,351.6300049,-0.194276763
DTXSID10221461,FALSE,FALSE,233,2,3,71306-36-0,351.0700073,0.178037807
DTXSID1022180,FALSE,TRUE,3300,3,5,2216-51-5,156.269,-1.324641107
DTXSID1022265,FALSE,FALSE,790,3,4,15972-60-8,269.769989,-0.466633457
DTXSID1022267,TRUE,FALSE,14.7,1,2,16752-77-5,162.2100067,1.042760308
DTXSID10223501,FALSE,FALSE,400,2,4,7327-87-9,288.2799988,-0.14224548
DTXSID10224912,FALSE,TRUE,9500,4,5,74039-02-4,690.8400269,-1.138346113
DTXSID10224997,FALSE,TRUE,2280,3,5,7409-44-1,160.2570038,-1.153117828
DTXSID1022554,FALSE,FALSE,58.56,2,3,57576-44-0,811.8779907,1.1418897
DTXSID1022635,FALSE,TRUE,12000,4,5,2169-64-4,371.302002,-1.509453955
DTXSID10226395,FALSE,FALSE,1579,3,4,75464-11-8,296.321991,-0.726618247
DTXSID1022681,FALSE,TRUE,4300,3,5,603-50-9,361.3970032,-1.075483909
DTXSID1022712,FALSE,FALSE,413,2,4,653-03-2,409.5899963,-0.003600711
DTXSID1022718,FALSE,FALSE,1040,3,4,149-64-4,440.3779907,-0.373207734
DTXSID10227665,TRUE,FALSE,5.6,1,2,76858-53-2,312.480011,1.746634214
DTXSID10227721,TRUE,FALSE,9.4,1,2,76936-70-4,184.1900024,1.2921382
DTXSID1022841,FALSE,TRUE,2485,3,5,26717-47-5,327.8099976,-0.879704199
DTXSID1022843,FALSE,TRUE,5750,4,5,911-45-5,405.9700012,-1.151173902
DTXSID10228612,FALSE,FALSE,127,2,3,7795-74-6,226.2700043,0.250823264
DTXSID1022922,FALSE,TRUE,10070,4,5,120-97-8,305.1400146,-1.518530308
DTXSID1022976,TRUE,FALSE,0.174,1,1,513-10-0,383.230011,3.342910263
DTXSID10229982,FALSE,FALSE,63.4,2,3,79985-92-5,198.2200012,0.495058217
DTXSID10230018,FALSE,FALSE,80,2,3,80026-34-2,335.1900024,0.62220107
DTXSID10230250,FALSE,FALSE,820,3,4,80310-21-0,238.7200012,-0.535925044
DTXSID1023029,FALSE,FALSE,114,2,3,709-55-7,181.2350006,0.201337222
DTXSID10230654,FALSE,FALSE,500,2,4,80834-64-6,379.5039978,-0.119753649
DTXSID10230659,FALSE,FALSE,500,2,4,80834-78-2,468.5499878,-0.028214073
DTXSID1023071,FALSE,FALSE,980,3,4,17617-23-1,387.8800049,-0.402528683
DTXSID1023077,FALSE,TRUE,3130,3,5,73573-87-2,344.4110107,-0.95846731
DTXSID1023100,FALSE,TRUE,7500,4,5,56-85-9,146.1459961,-1.710274342
DTXSID1023102,FALSE,FALSE,600,3,4,77-21-4,217.2680054,-0.441155473
DTXSID1023108,FALSE,TRUE,3100,3,5,339-44-6,309.3399963,-1.000925618
DTXSID1023233,FALSE,TRUE,34800,4,5,69-79-4,342.2969971,-2.007176155
DTXSID1023235,FALSE,TRUE,13500,4,5,69-65-8,182.1719971,-1.869852149
DTXSID1023237,TRUE,FALSE,36.3,1,2,22232-71-9,284.7399902,0.894541841
DTXSID1023239,FALSE,FALSE,1160,3,4,64-55-1,232.2799988,-0.698446174
DTXSID1023283,FALSE,FALSE,93,2,3,113-42-8,339.4389954,0.562278785
DTXSID1023289,FALSE,FALSE,1100,3,4,60-99-1,328.4700012,-0.524896973
DTXSID10233120,FALSE,FALSE,251,2,3,84197-34-2,303.3375244,0.082252417
DTXSID1023314,FALSE,FALSE,521,3,4,54-36-4,226.279007,-0.362193459
DTXSID1023362,FALSE,FALSE,1700,3,4,51-12-7,298.3460083,-0.75572869
DTXSID1023368,FALSE,FALSE,250,2,3,4394-00-7,282.2219849,0.052650833
DTXSID1023441,FALSE,FALSE,318,2,4,58-39-9,403.9700012,0.103921996
DTXSID1023445,FALSE,FALSE,403,2,4,94-78-0,213.2440033,-0.276428219
DTXSID1023449,FALSE,FALSE,650,3,4,114-86-3,205.2649994,-0.500598454
DTXSID1023497,FALSE,FALSE,59.5,2,3,52549-17-4,255.272995,0.632487908
DTXSID1023524,FALSE,FALSE,135,2,3,469-62-5,339.4790039,0.400479151
DTXSID1023526,FALSE,FALSE,83,2,3,101-40-6,155.285,0.272051414
DTXSID10236292,FALSE,FALSE,1800,3,4,87344-11-4,404.458374,-0.648398673
DTXSID10236636,FALSE,FALSE,1175,3,4,87792-14-1,418.5080872,-0.448334012
DTXSID1023734,FALSE,FALSE,890,3,4,2430-27-5,143.2299957,-0.793356028
DTXSID1023736,FALSE,FALSE,455,2,4,50700-72-6,637.7440186,0.146634997
DTXSID10237406,FALSE,TRUE,4000,3,5,88909-96-0,283.278717,-1.149846044
DTXSID10237663,TRUE,FALSE,24,1,2,89427-01-0,346.4754944,1.159461281
DTXSID10237668,FALSE,FALSE,161,2,3,89427-06-5,321.1362915,0.299863512
DTXSID10237683,TRUE,FALSE,30,1,2,89427-21-4,313.5016174,1.019118531
DTXSID10237688,TRUE,FALSE,2.894,1,1,89427-30-5,270.1312866,1.97007636
DTXSID10237704,FALSE,FALSE,100,2,3,89427-46-3,315.0759888,0.498415308
DTXSID10237724,TRUE,FALSE,40,1,2,89457-09-0,258.1965637,0.809890467
DTXSID1023784,FALSE,FALSE,525,3,4,554-13-2,73.88999939,-0.85157364
DTXSID1023786,FALSE,FALSE,51.5,2,3,624-83-9,57.05199814,0.04446363
DTXSID1023815,FALSE,FALSE,1737,3,4,631-64-1,217.8439941,-0.901654227
DTXSID1023817,FALSE,FALSE,400,2,4,538-75-0,206.3329926,-0.287491314
DTXSID1023819,FALSE,TRUE,4000,3,5,3056-17-5,224.2160034,-1.251393384
DTXSID1023869,FALSE,FALSE,1060,3,4,834-12-8,227.3300018,-0.66864911
DTXSID10238736,FALSE,FALSE,125,2,3,91893-36-6,326.8002625,0.417372384
DTXSID10239182,FALSE,TRUE,9000,4,5,929-17-9,145.1995087,-1.792277363
DTXSID10239309,FALSE,FALSE,300,2,4,93181-85-2,324.2051086,0.033698599
DTXSID1023990,FALSE,FALSE,149,2,3,21725-46-2,240.6999969,0.208289816
DTXSID1023996,TRUE,FALSE,11,1,2,108-91-8,99.17700195,0.955018291
DTXSID1023998,TRUE,FALSE,36.2,1,2,52315-07-8,416.2999878,1.060697828
DTXSID1024045,FALSE,FALSE,880,3,4,64-67-5,154.1799927,-0.756454651
DTXSID1024047,FALSE,FALSE,753,3,4,693-21-0,196.1150055,-0.584284152
DTXSID1024049,FALSE,FALSE,790,3,4,35367-38-5,310.6799927,-0.405313805
DTXSID1024091,FALSE,FALSE,916,3,4,759-94-4,189.3200073,-0.684698961
DTXSID1024097,FALSE,FALSE,470,2,4,111-76-2,118.176,-0.599568572
DTXSID1024120,FALSE,FALSE,1510,3,4,77182-82-2,198.1589966,-0.881963153
DTXSID1024122,FALSE,TRUE,4873,3,5,1071-83-6,169.072998,-1.459722158
DTXSID1024126,TRUE,FALSE,15,1,2,1024-57-3,389.2999878,1.414193131
DTXSID10241644,TRUE,FALSE,50,1,2,94847-66-2,375.8433533,0.87603687
DTXSID1024170,FALSE,FALSE,464,2,4,24307-26-4,149.6600037,-0.491412229
DTXSID1024174,FALSE,FALSE,150,2,3,78-48-8,314.5,0.321529391
DTXSID1024176,FALSE,FALSE,120,2,3,126-98-7,67.09100342,-0.252516959
DTXSID1024209,FALSE,FALSE,250,2,3,300-76-5,380.7799988,0.182734119
DTXSID1024255,FALSE,TRUE,4000,3,5,13684-63-4,300.3139954,-1.124484419
DTXSID1024259,FALSE,FALSE,85,2,3,2310-17-0,367.7999878,0.636192785
DTXSID10242752,FALSE,FALSE,860,3,4,97174-79-3,288.7289124,-0.474008176
DTXSID1024338,FALSE,TRUE,6640,4,5,23564-05-8,342.3900146,-1.287646989
DTXSID10243461,FALSE,FALSE,1550,3,4,98124-07-3,419.4729919,-0.567627694
DTXSID10244251,FALSE,FALSE,770,3,4,99793-38-1,336.2389526,-0.359842701
DTXSID1024598,FALSE,TRUE,2227,3,5,118-58-1,228.246994,-0.98931515
DTXSID1024621,FALSE,TRUE,4760,3,5,111-96-6,134.1750031,-1.549935339
DTXSID1024671,FALSE,FALSE,484,2,4,1338-23-4,210.2259979,-0.362158939
DTXSID1024704,FALSE,FALSE,1555,3,4,98-51-1,148.2489929,-1.020738642
DTXSID1024835,FALSE,TRUE,2200,3,5,104-55-2,132.1620026,-1.22131607
DTXSID1024881,FALSE,FALSE,220,2,3,930-68-7,96.1289978,-0.359568266
DTXSID1024912,FALSE,TRUE,4170,3,5,91-17-8,138.254,-1.47945835
DTXSID1024916,FALSE,FALSE,1000,3,4,2873-97-4,169.223999,-0.771538046
DTXSID1024918,FALSE,FALSE,578,3,4,124-02-7,97.16100311,-0.774435849
DTXSID1024966,FALSE,FALSE,1600,3,4,554-00-7,162.0099945,-0.994578175
DTXSID1025013,FALSE,FALSE,195,2,3,2213-63-0,199.0299988,0.008883929
DTXSID1025017,FALSE,TRUE,4100,3,5,80-43-3,270.3720093,-1.180822128
DTXSID1025148,FALSE,FALSE,608,3,4,108-68-9,122.1669998,-0.696949671
